net,norm,per probe prompt,neg_cov_weight,loss,erase_prompt,model,dataset,sweep_name,75_layer-full,75_layer-none,75_layer-partial,last_layer-full,last_layer-none,last_layer-partial,layer_ensemble-full,layer_ensemble-partial,layer_ensemble-none,combo
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,amazon_polarity,ecstatic-ramanujan,0.9896,0.804,0.9539,0.9898,0.7511,0.9017,0.9898,0.9599,0.8385,eigen--False-1.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,imdb,bold-wright,0.9903,0.7746,0.9281,0.9892,0.7214,0.9018,0.9907,0.9328,0.8006,eigen--False-1.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,amazon_polarity,dreamy-blackburn,0.9709,0.6162,0.7896,0.9747,0.5933,0.7817,0.986,0.8955,0.7008,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,glue:qnli,unruffled-johnson,0.5672,0.5208,0.5427,0.6275,0.5317,0.5641,0.6063,0.5739,0.5298,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,super_glue:boolq,bold-merkle,0.617,0.5144,0.5537,0.6313,0.5155,0.5484,0.6602,0.5823,0.5261,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,ag_news,objective-hypatia,0.8554,0.5633,0.6022,0.8335,0.567,0.6236,0.8805,0.6649,0.607,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,imdb,hopeful-bohr,0.9461,0.5816,0.7099,0.9029,0.5412,0.6548,0.9729,0.7968,0.6141,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,super_glue:copa,modest-ritchie,0.5812,0.517,0.5385,0.6319,0.5101,0.5229,0.6688,0.5758,0.5358,eigen--True-0.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,ag_news,funny-thompson,0.5546,0.5415,0.5627,0.5555,0.5507,0.5625,0.5434,0.5576,0.5433,eigen--False-1.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,super_glue:rte,nifty-shirley,0.5172,0.5108,0.5099,0.5024,0.503,0.5026,0.5449,0.528,0.5299,eigen--False-1.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,dbpedia_14,loving-mahavira,0.6557,0.5713,0.6015,0.6673,0.5614,0.5982,0.7016,0.6501,0.6053,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,piqa,gallant-lichterman,0.6421,0.5227,0.5692,0.5633,0.5122,0.5275,0.6521,0.58,0.5313,eigen--True-0.0--False
eigen,,True,0.0,,False,meta-llama/Llama-2-7b-hf,super_glue:rte,relaxed-johnson,0.633,0.5312,0.5831,0.6089,0.5163,0.5511,0.6629,0.601,0.5352,eigen--True-0.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,glue:qnli,wizardly-yonath,0.6006,0.5363,0.5462,0.5155,0.5033,0.5021,0.6002,0.5479,0.5356,eigen--False-1.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,super_glue:copa,great-benz,0.5656,0.5273,0.5538,0.5838,0.5244,0.5634,0.5669,0.5564,0.5281,eigen--False-1.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,piqa,sad-boyd,0.5323,0.5117,0.5159,0.4755,0.4926,0.4886,0.4997,0.5031,0.5026,eigen--False-1.0--False
eigen,,False,1.0,,False,meta-llama/Llama-2-7b-hf,super_glue:boolq,blissful-wu,0.5416,0.5205,0.5332,0.5426,0.5212,0.5326,0.5653,0.5433,0.5335,eigen--False-1.0--False
