net,norm,per probe prompt,neg_cov_weight,loss,erase_prompt,model,dataset,sweep_name,75_layer-full,75_layer-none,75_layer-partial,last_layer-full,last_layer-none,last_layer-partial,layer_ensemble-full,layer_ensemble-partial,layer_ensemble-none,combo
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,ag_news,vigilant-montalcini,0.7686,0.7421,0.7573,0.8028,0.7305,0.747,0.8029,0.7795,0.7635,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,ag_news,condescending-yonath,0.7699,0.7426,0.7583,0.8058,0.7236,0.7396,0.802,0.7776,0.7629,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,ag_news,awesome-booth,0.7811,0.754,0.768,0.7524,0.7357,0.7465,0.8849,0.877,0.8558,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,ag_news,gracious-solomon,0.7812,0.7541,0.7681,0.7524,0.7357,0.7465,0.8893,0.8818,0.8612,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,ag_news,hardcore-nash,0.7704,0.749,0.7617,0.7435,0.7321,0.7402,0.7687,0.7616,0.7511,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,ag_news,cool-wing,0.7704,0.749,0.7617,0.7435,0.7321,0.7402,0.771,0.7634,0.7523,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,amazon_polarity,vigilant-montalcini,0.4894,0.5001,0.5004,0.5038,0.5001,0.5006,0.5134,0.5009,0.5008,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,amazon_polarity,condescending-yonath,0.5042,0.5005,0.5008,0.5038,0.5001,0.5006,0.5193,0.501,0.5006,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,amazon_polarity,awesome-booth,0.518,0.5046,0.5051,0.5494,0.5044,0.5055,0.5566,0.5121,0.5105,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,amazon_polarity,gracious-solomon,0.5178,0.5045,0.5051,0.5532,0.5048,0.5059,0.5569,0.5122,0.5105,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,amazon_polarity,hardcore-nash,0.555,0.5155,0.5192,0.5819,0.5182,0.5246,0.5675,0.5217,0.5169,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,amazon_polarity,cool-wing,0.555,0.5155,0.5192,0.5827,0.5187,0.5252,0.5676,0.5218,0.517,ccs-leace-False--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,dbpedia_14,vigilant-montalcini,1.0,0.9955,0.9996,1.0,0.9696,0.9838,1.0,0.9999,0.9973,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,burns,True,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,dbpedia_14,condescending-yonath,1.0,0.9955,0.9996,1.0,0.9696,0.9838,1.0,0.9999,0.9973,ccs-burns-True--1.0*ccs_prompt_var-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,dbpedia_14,awesome-booth,1.0,0.993,0.9993,1.0,0.9901,0.9993,1.0,0.9994,0.9936,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs,True,meta-llama/Llama-2-7b-hf,dbpedia_14,gracious-solomon,1.0,0.993,0.9993,1.0,0.99,0.9992,1.0,0.9994,0.9936,ccs-leace-False--1.0*ccs-True
ccs,leace,False,,1.0*ccs_prompt_var,True,meta-llama/Llama-2-7b-hf,dbpedia_14,hardcore-nash,1.0,0.9935,0.9994,1.0,0.9904,0.9994,1.0,0.9996,0.9942,ccs-leace-False--1.0*ccs_prompt_var-True
